NQUEST;Srvyr;DURACAO;Upload;Status;DINI;DFIM;VERSAO;PF1;IDADE1;SEXO;P1;P2;P3;P4;P5;P6;P7;P8;PEA;PARTIDO;ESCOLA;RENDAF;PONTO;PESQ
5874223;tab19;0:05:31;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;28;1;2;1;9;1;1;2;1;1;1;95;5;1;2508;11585
5874232;tab03;0:06:18;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;27;1;2;2;9;1;2;3;2;2;2;4;5;1;1748;10231
5874243;tab39;0:04:00;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;55;2;2;2;8;1;2;4;2;1;1;2;3;1;2822;13204
5874244;tab13;0:03:30;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;36;2;1;3;6;1;2;4;2;1;1;96;7;5;1222;13222
5874254;tab01;0:03:45;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;37;2;3;5;3;1;1;3;1;2;1;96;5;2;40;12729
5874257;tab15;0:04:59;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;24;2;2;5;5;1;2;4;2;2;16;2;6;1;3283;13369
5874265;tab14;0:12:43;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;26;2;3;5;,5;1;2;4;1;2;1;96;3;1;183;6248
5874266;tab14;0:07:59;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;47;1;1;5;2;1;2;1;2;1;2;96;3;1;183;6248
5874267;tab14;0:13:20;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;66;2;2;2;6;1;2;1;2;1;12;96;7;4;183;6248
5874274;tab07;0:06:45;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;33;1;2;3;5;1;2;1;2;2;1;96;4;1;3373;13239
5874288;tab05;0:06:03;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;74;2;2;4;7;1;2;4;1;1;12;96;2;2;3142;13633
5874293;tab12;0:04:02;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;18;2;2;2;7;1;2;2;2;2;13;2;5;2;2496;4352
